date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:45	30884/30884	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:45%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin-ext/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin-ext/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
19:57:47	15689/15689	---MCZ	200	added ('OK')	text/css	etag:W/%22684d9c1c-3d49%22	https://waifu.zoneplay.vn/FormH5/style.css	./waifu/waifu.zoneplay.vn/FormH5/style.css	(from https://waifu.zoneplay.vn/play)
19:57:47	4492/4492	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Aug%202025%2012:57:47%20GMT	https://waifu.zoneplay.vn/GET	./waifu/waifu.zoneplay.vn/GET	(from https://waifu.zoneplay.vn/play)
19:57:49	696/696	---MCZ	200	added ('OK')	application/json	etag:W/%2267e372f0-2b8%22	https://waifu.zoneplay.vn/G34/manifest.json	./waifu/waifu.zoneplay.vn/G34/manifest.json	(from https://waifu.zoneplay.vn/play)
19:57:50	556/556	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267fcc379-22c%22	https://waifu.zoneplay.vn/G34/sw.js	./waifu/waifu.zoneplay.vn/G34/sw.js	(from https://waifu.zoneplay.vn/play)
19:57:51	117932/117932	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:50%20GMT	https://waifu.zoneplay.vn/home	./waifu/waifu.zoneplay.vn/home.html	(from https://waifu.zoneplay.vn/play)
19:57:52	3576/3576	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267fcbcd3-df8%22	https://waifu.zoneplay.vn/FormH5/main.js	./waifu/waifu.zoneplay.vn/FormH5/main.js	(from https://waifu.zoneplay.vn/play)
19:57:53	91203/91203	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:52%20GMT	https://waifu.zoneplay.vn/play-now	./waifu/waifu.zoneplay.vn/play-now.html	(from https://waifu.zoneplay.vn/play)
19:57:54	60841/60841	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:53%20GMT	https://waifu.zoneplay.vn/huong-dan/cach-tao-icon-waifu-party-tren-man-hinh	./waifu/waifu.zoneplay.vn/huong-dan/cach-tao-icon-waifu-party-tren-man-hinh.html	(from https://waifu.zoneplay.vn/play)
19:57:55	58153/58153	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:54%20GMT	https://waifu.zoneplay.vn/huong-dan/huong-dan-nap-game-waifu-party-gzone	./waifu/waifu.zoneplay.vn/huong-dan/huong-dan-nap-game-waifu-party-gzone.html	(from https://waifu.zoneplay.vn/su-kien/kenh-nap-zoneplay-uu-dai-den-50)
19:57:56	58886/58886	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:55%20GMT	https://waifu.zoneplay.vn/huong-dan	./waifu/waifu.zoneplay.vn/huong-dan.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:57:57	64137/64137	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:56%20GMT	https://waifu.zoneplay.vn/tin-tuc/khai-mo-cum-server-moi-hu-khong	./waifu/waifu.zoneplay.vn/tin-tuc/khai-mo-cum-server-moi-hu-khong.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:57:58	57492/57492	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:57%20GMT	https://waifu.zoneplay.vn/tin-tuc/khai-mo-cum-server-moi-xoi-9h-ngay-0507	./waifu/waifu.zoneplay.vn/tin-tuc/khai-mo-cum-server-moi-xoi-9h-ngay-0507.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:57:59	56374/56374	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:58%20GMT	https://waifu.zoneplay.vn/tin-tuc/cong-bo-bxh-dua-top-lien-server	./waifu/waifu.zoneplay.vn/tin-tuc/cong-bo-bxh-dua-top-lien-server.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:58:00	59075/59075	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:59%20GMT	https://waifu.zoneplay.vn/tin-tuc/thong-tin-su-kien-tuan-3	./waifu/waifu.zoneplay.vn/tin-tuc/thong-tin-su-kien-tuan-3.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:58:01	56487/56487	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:00%20GMT	https://waifu.zoneplay.vn/tin-tuc/thong-bao-bao-tri-ngay-14	./waifu/waifu.zoneplay.vn/tin-tuc/thong-bao-bao-tri-ngay-14.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:58:02	58699/58699	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:01%20GMT	https://waifu.zoneplay.vn/tin-tuc?page=1	./waifu/waifu.zoneplay.vn/tin-tuc2679.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:58:03	58743/58743	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:02%20GMT	https://waifu.zoneplay.vn/tin-tuc?page=2	./waifu/waifu.zoneplay.vn/tin-tuc4658.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:58:04	58732/58732	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:03%20GMT	https://waifu.zoneplay.vn/tin-tuc?page=3	./waifu/waifu.zoneplay.vn/tin-tuc9ba9.html	(from https://waifu.zoneplay.vn/tin-tuc)
19:58:05	59870/59870	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:04%20GMT	https://waifu.zoneplay.vn/su-kien/su-kien-tiec-anh-hung	./waifu/waifu.zoneplay.vn/su-kien/su-kien-tiec-anh-hung.html	(from https://waifu.zoneplay.vn/su-kien)
19:58:06	63869/63869	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:05%20GMT	https://waifu.zoneplay.vn/su-kien/su-kien-chieu-mo-gioi-han-hu-khong-xuat-hien	./waifu/waifu.zoneplay.vn/su-kien/su-kien-chieu-mo-gioi-han-hu-khong-xuat-hien.html	(from https://waifu.zoneplay.vn/su-kien)
19:58:07	61973/61973	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:06%20GMT	https://waifu.zoneplay.vn/su-kien/tham-gia-server-dac-biet-ngay-nhan-qua-lien-tay	./waifu/waifu.zoneplay.vn/su-kien/tham-gia-server-dac-biet-ngay-nhan-qua-lien-tay.html	(from https://waifu.zoneplay.vn/su-kien)
19:58:08	62014/62014	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:07%20GMT	https://waifu.zoneplay.vn/su-kien/su-kien-chieu-mo-gioi-han-bua-tiec-thinh-soan	./waifu/waifu.zoneplay.vn/su-kien/su-kien-chieu-mo-gioi-han-bua-tiec-thinh-soan.html	(from https://waifu.zoneplay.vn/su-kien)
19:58:09	61270/61270	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:08%20GMT	https://waifu.zoneplay.vn/su-kien/tieu-diem-tuong-nu-hoang-tiec-tung	./waifu/waifu.zoneplay.vn/su-kien/tieu-diem-tuong-nu-hoang-tiec-tung.html	(from https://waifu.zoneplay.vn/su-kien)
19:58:10	58835/58835	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:09%20GMT	https://waifu.zoneplay.vn/su-kien?page=1	./waifu/waifu.zoneplay.vn/su-kien2679.html	(from https://waifu.zoneplay.vn/su-kien)
19:58:11	58750/58750	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:10%20GMT	https://waifu.zoneplay.vn/su-kien?page=2	./waifu/waifu.zoneplay.vn/su-kien4658.html	(from https://waifu.zoneplay.vn/su-kien)
19:58:12	58643/58643	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:11%20GMT	https://waifu.zoneplay.vn/su-kien?page=3	./waifu/waifu.zoneplay.vn/su-kien9ba9.html	(from https://waifu.zoneplay.vn/su-kien)
19:58:13	60500/60500	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:12%20GMT	https://waifu.zoneplay.vn/huong-dan/tieu-diem-tuong-vuong-lam	./waifu/waifu.zoneplay.vn/huong-dan/tieu-diem-tuong-vuong-lam.html	(from https://waifu.zoneplay.vn/huong-dan)
19:58:14	60559/60559	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:13%20GMT	https://waifu.zoneplay.vn/huong-dan/tieu-diem-tuong-hoang-tu-nam-tre	./waifu/waifu.zoneplay.vn/huong-dan/tieu-diem-tuong-hoang-tu-nam-tre.html	(from https://waifu.zoneplay.vn/huong-dan)
19:58:15	60076/60076	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:14%20GMT	https://waifu.zoneplay.vn/huong-dan/tieu-diem-tuong-keo-rau-rong	./waifu/waifu.zoneplay.vn/huong-dan/tieu-diem-tuong-keo-rau-rong.html	(from https://waifu.zoneplay.vn/huong-dan)
19:58:16	60285/60285	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:58:15%20GMT	https://waifu.zoneplay.vn/huong-dan/tieu-diem-tuong-ca-phe-meo	./waifu/waifu.zoneplay.vn/huong-dan/tieu-diem-tuong-ca-phe-meo.html	(from https://waifu.zoneplay.vn/huong-dan)
